Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
201.10.1.3-63.6.109.185-0-0-0,63.6.109.185,0,201.10.1.3,0,0,10/11/2020 12:56:11 AM,119998219,10908,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90968258453903,11000.936835350245,19960.27871505411,452885.0,7.0,1.19998129E8,11001.937196295989,19960.920345091916,452885.0,7.0,0,0,0,0,0,0,0,0,0,0,0,90.90134912752329,0.00833345701572454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10908,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
201.10.1.3-63.6.109.189-0-0-0,63.6.109.189,0,201.10.1.3,0,0,10/11/2020 12:56:13 AM,97314278,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822078749841827,1.3902039714285715E7,1.7886250087119956E7,4.8930349E7,59.0,9.3765087E7,1.5627514500000002E7,1.894445880544646E7,4.8930349E7,59.0,0,0,0,0,0,0,0,0,0,0,0,0.07193189061115986,0.010275984373022837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,1183122.6666666665,2049075.2839689257,3549191.0,59.0,2.34412275E7,1.8813233524996184E7,4.8930349E7,8925400.0,No Label
1.2.3.4-63.6.5.165-0-0-0,63.6.5.165,0,1.2.3.4,0,0,10/11/2020 12:56:16 AM,51814057,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03859956382106887,5.1814057E7,0.0,5.1814057E7,5.1814057E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019299781910534435,0.019299781910534435,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.1814057E7,0.0,5.1814057E7,5.1814057E7,No Label
1.2.3.4-63.6.203.70-0-0-0,63.6.203.70,0,1.2.3.4,0,0,10/11/2020 12:56:17 AM,77122429,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025932793169675714,7.7122429E7,0.0,7.7122429E7,7.7122429E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012966396584837857,0.012966396584837857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,7.7122429E7,0.0,7.7122429E7,7.7122429E7,No Label
1.2.3.4-63.6.37.21-0-0-0,63.6.37.21,0,1.2.3.4,0,0,10/11/2020 12:56:19 AM,3047792,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6562127599258742,3047792.0,0.0,3047792.0,3047792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3281063799629371,0.3281063799629371,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
1.2.3.4-63.6.161.3-0-0-0,63.6.161.3,0,1.2.3.4,0,0,10/11/2020 12:56:14 AM,32880943,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06082550612979682,3.2880943E7,0.0,3.2880943E7,3.2880943E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03041275306489841,0.03041275306489841,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.2880943E7,0.0,3.2880943E7,3.2880943E7,No Label
1.2.3.4-63.6.203.246-0-0-0,63.6.203.246,0,1.2.3.4,0,0,10/11/2020 12:56:34 AM,116719365,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257026758156198,5.83596825E7,1.8858746450745672E7,7.169483E7,4.5024535E7,4.5024535E7,4.5024535E7,0.0,4.5024535E7,4.5024535E7,0,0,0,0,0,0,0,0,0,0,0,0.0171351172104132,0.0085675586052066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.83596825E7,1.8858746450745672E7,7.169483E7,4.5024535E7,No Label
1.2.3.4-63.6.210.160-0-0-0,63.6.210.160,0,1.2.3.4,0,0,10/11/2020 12:56:12 AM,48755564,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041020959166834785,4.8755564E7,0.0,4.8755564E7,4.8755564E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020510479583417392,0.020510479583417392,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,4.8755564E7,0.0,4.8755564E7,4.8755564E7,No Label
1.2.3.4-63.6.175.20-0-0-0,63.6.175.20,0,1.2.3.4,0,0,10/11/2020 12:56:44 AM,33450067,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05979061267650077,3.3450067E7,0.0,3.3450067E7,3.3450067E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029895306338250386,0.029895306338250386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.3450067E7,0.0,3.3450067E7,3.3450067E7,No Label
1.2.3.4-63.6.234.218-0-0-0,63.6.234.218,0,1.2.3.4,0,0,10/11/2020 12:56:29 AM,110550986,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027136800028178854,5.5275493E7,1.8034291763687313E7,6.8027663E7,4.2523323E7,4.2523323E7,4.2523323E7,0.0,4.2523323E7,4.2523323E7,0,0,0,0,0,0,0,0,0,0,0,0.0180912000187859,0.00904560000939295,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.5275493E7,1.8034291763687313E7,6.8027663E7,4.2523323E7,No Label
