Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-192.168.1.10-41185-161-17,192.168.1.2,41185,192.168.1.10,161,17,25/02/2021 10:58:30 AM,3931,1,3,43.0,130.0,43.0,43.0,43.0,0.0,44.0,42.0,43.333333333333336,1.1547005383792515,44009.15797506996,1017.5527855507505,1310.3333333333333,1095.9271569467257,2568.0,560.0,0,0,0,0,0,3931.0,1965.5,1644.023266258723,3128.0,803.0,0,0,0,0,8,24,254.38819638768763,763.1645891630629,42.0,44.0,43.0,1.0,1.0000000000000002,0,0,0,0,0,0,0,0,3.0,53.75,43.0,43.333333333333336,0,0,0,0,0,0,1,43,3,130,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-59505-161-17,192.168.1.2,59505,192.168.1.10,161,17,25/02/2021 10:58:30 AM,4761,1,3,43.0,130.0,43.0,43.0,43.0,0.0,44.0,42.0,43.333333333333336,1.1547005383792515,36336.904011762235,840.1596303297628,1587.0,1448.0942648874761,3259.0,734.0,0,0,0,0,0,4761.0,2380.5,2328.502630447301,4027.0,734.0,0,0,0,0,8,24,210.0399075824407,630.119722747322,42.0,44.0,43.0,1.0,1.0000000000000002,0,0,0,0,0,0,0,0,3.0,53.75,43.0,43.333333333333336,0,0,0,0,0,0,1,43,3,130,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-52489-161-17,192.168.1.2,52489,192.168.1.10,161,17,25/02/2021 10:58:34 AM,5146,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,35367.275553828214,777.3027594247959,1715.3333333333333,1062.9479447900228,2937.0,1002.0,0,0,0,0,0,5146.0,2573.0,2221.7295064881323,4144.0,1002.0,0,0,0,0,8,24,194.32568985619898,582.9770695685969,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-54063-161-17,192.168.1.2,54063,192.168.1.10,161,17,25/02/2021 10:58:34 AM,5588,1,3,43.0,143.0,43.0,43.0,43.0,0.0,57.0,42.0,47.666666666666664,8.144527815247079,33285.61202576951,715.8196134574088,1862.6666666666665,2417.298561066327,4649.0,326.0,0,0,0,0,0,5588.0,2794.0,3490.2790719367986,5262.0,326.0,0,0,0,0,8,24,178.9549033643522,536.8647100930565,42.0,57.0,45.6,6.4265076052238514,41.300000000000004,0,0,0,0,0,0,0,0,3.0,57.0,43.0,47.666666666666664,0,0,0,0,0,0,1,43,3,143,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-45483-161-17,192.168.1.2,45483,192.168.1.10,161,17,25/02/2021 10:58:45 AM,5076,1,3,45.0,141.0,45.0,45.0,45.0,0.0,48.0,45.0,47.0,1.7320508075688772,36643.02600472813,788.0220646178093,1692.0,2473.369968282141,4547.0,199.0,0,0,0,0,0,5076.0,2538.0,3122.583545719794,4746.0,330.0,0,0,0,0,8,24,197.00551615445232,591.016548463357,45.0,48.0,46.2,1.6431676725154984,2.7,0,0,0,0,0,0,0,0,3.0,57.75,45.0,47.0,0,0,0,0,0,0,1,45,3,141,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-39470-161-17,192.168.1.2,39470,192.168.1.10,161,17,25/02/2021 10:58:40 AM,4691,1,3,43.0,130.0,43.0,43.0,43.0,0.0,44.0,42.0,43.333333333333336,1.1547005383792515,36879.13024941377,852.6966531656363,1563.6666666666665,2132.647259471977,4026.0,303.0,0,0,0,0,0,4691.0,2345.5,2805.092600967034,4329.0,362.0,0,0,0,0,8,24,213.1741632914091,639.5224898742273,42.0,44.0,43.0,1.0,1.0000000000000002,0,0,0,0,0,0,0,0,3.0,53.75,43.0,43.333333333333336,0,0,0,0,0,0,1,43,3,130,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-34518-161-17,192.168.1.2,34518,192.168.1.10,161,17,25/02/2021 10:58:30 AM,4886,1,3,43.0,142.0,43.0,43.0,43.0,0.0,54.0,42.0,47.333333333333336,6.110100926607787,37863.2828489562,818.6655751125666,1628.6666666666667,1407.0367206769456,3247.0,695.0,0,0,0,0,0,4886.0,2443.0,2119.9061299972695,3942.0,944.0,0,0,0,0,8,24,204.66639377814164,613.999181334425,42.0,54.0,45.4,5.079370039680118,25.8,0,0,0,0,0,0,0,0,3.0,56.75,43.0,47.333333333333336,0,0,0,0,0,0,1,43,3,142,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-43584-161-17,192.168.1.2,43584,192.168.1.10,161,17,25/02/2021 10:58:35 AM,11585,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,15105.740181268882,345.27406128614587,3861.666666666667,6041.689360876917,10838.0,364.0,0,0,0,0,0,11585.0,5792.5,7677.058323342347,11221.0,364.0,0,0,0,0,8,24,86.31851532153647,258.9555459646094,42.0,46.0,43.4,1.6733200530681511,2.8,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-37258-161-17,192.168.1.2,37258,192.168.1.10,161,17,25/02/2021 10:58:34 AM,4555,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,38419.31942919868,878.1558726673985,1518.3333333333335,2077.3180626310773,3917.0,312.0,0,0,0,0,0,4555.0,2277.5,2759.837766971095,4229.0,326.0,0,0,0,0,8,24,219.53896816684963,658.6169045005488,42.0,46.0,43.4,1.6733200530681511,2.8,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-53533-161-17,192.168.1.2,53533,192.168.1.10,161,17,25/02/2021 10:58:45 AM,2196,1,3,45.0,143.0,45.0,45.0,45.0,0.0,49.0,45.0,47.666666666666664,2.309401076758503,85610.20036429873,1821.4936247723133,732.0,840.9892983861329,1703.0,235.0,0,0,0,0,0,2196.0,1098.0,1187.9393923933999,1938.0,258.0,0,0,0,0,8,24,455.3734061930783,1366.120218579235,45.0,49.0,46.6,2.1908902300206647,4.800000000000001,0,0,0,0,0,0,0,0,3.0,58.25,45.0,47.666666666666664,0,0,0,0,0,0,1,45,3,143,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
