ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,136,136,68,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,136,136,68,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,136,136,68,0,0,0,0,0,0,0,0,0,0,0
24449,23858,0,275,0,0,274,0,0,0,0,0,0,0,0,0,68,68,0,0,962,1246,778,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4623,4906,5052,0,0,0,0,0,68,68,0,1,15793,15900,7995,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7841,7721,7697,0,0,0,0,0,68,68,0,0,12120,12028,5973,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17821,0,5857,6018,6045,0,0,0,0,0,68,68,0,0,12804,12912,6456,0,0,0,0,0,0,0,0,0,0,0
1147054,969429,0,17836,0,0,0,0,13331,13253,13274,0,0,0,0,0,68,68,0,0,31339,32365,16275,0,0,0,0,0,0,0,0,0,0,0
1609878,1355514,0,25102,0,0,25023,0,19070,19645,19849,0,0,0,0,0,68,68,0,1,42134,42646,22806,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21044,21131,21070,0,0,0,0,0,68,68,0,1,39081,37482,17382,0,1,0,0,0,0,0,0,0,0,0
2454415,2067368,0,38298,0,0,38205,0,11988,11403,11061,0,0,0,0,0,68,68,0,0,18657,18586,9164,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7324,8201,8360,0,0,0,0,0,68,68,0,0,20485,20539,10314,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11006,10145,10059,0,0,0,0,0,68,68,0,0,16601,16654,8373,0,0,0,0,0,0,0,0,0,0,0
1832985,1544817,0,28559,0,0,28477,0,9155,9368,9294,0,0,0,0,0,68,68,0,0,20266,20517,10338,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9361,9473,9857,0,0,0,0,0,69,68,0,3,47315,47007,24049,0,3,0,0,3,0,0,0,0,0,0
2846690,2326284,0,44393,0,0,42995,0,40533,42967,41547,0,0,0,0,0,85,68,0,3,70941,73093,37634,0,2,0,0,18,0,0,0,0,0,0
2735472,2232681,0,42691,0,0,41304,0,43452,44887,43606,0,0,0,0,0,74,68,0,1,98272,98220,50361,0,1,0,0,0,0,0,0,0,0,0
3349828,2682523,0,52310,0,0,49627,0,48594,52020,49407,0,0,0,0,0,68,68,0,0,85283,86960,44744,0,0,0,0,0,0,0,0,0,0,0
2863656,2314604,0,44719,0,0,42819,0,44909,46208,43835,0,0,0,0,0,68,68,0,1,89360,87426,44104,0,2,0,0,0,0,0,0,0,0,0
3037662,2428480,0,47428,0,0,44928,0,45024,48381,45705,0,0,0,0,0,70,68,0,2,88546,88818,45985,0,1,0,0,3,0,0,0,0,0,0
