ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,27,0,0,0,0,0,68,82,0,0,151,151,113,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,68,81,0,0,147,148,103,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,68,79,0,0,147,146,99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,76,0,1,144,144,90,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,68,76,0,0,145,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,77,0,0,143,144,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,68,76,0,0,146,145,96,0,0,0,0,0,0,0,0,0,0,0
55043,478009,0,642,0,0,832,0,0,8,16,0,0,0,0,0,68,77,0,0,143,143,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,68,75,0,0,144,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,69,77,0,0,144,145,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,77,0,0,143,144,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,68,77,0,0,146,145,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,77,0,0,144,144,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,145,145,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,77,0,0,143,144,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,145,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,68,76,0,0,143,143,89,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,68,76,0,0,144,145,93,0,0,0,0,0,0,0,0,0,0,0
72332,473151,0,837,0,0,1019,0,0,8,15,0,0,0,0,0,68,76,0,0,144,143,93,0,0,0,0,0,0,0,0,0,0,0
